Removed Pin From Net: NetName=GND Pin=BT1-2
Removed Pin From Net: NetName=GND Pin=BT1-2
Removed Pin From Net: NetName=GND Pin=C11-2
Removed Pin From Net: NetName=VCC3V3 Pin=C12-1
Removed Pin From Net: NetName=GND Pin=C12-2
Removed Pin From Net: NetName=VCC5V Pin=C13-1
Removed Pin From Net: NetName=GND Pin=C13-2
Removed Pin From Net: NetName=GND Pin=JP1-1
Removed Pin From Net: NetName=VCC5V Pin=JP1-2
Removed Pin From Net: NetName=JOY1_X Pin=JP1-3
Removed Pin From Net: NetName=JOY1_Y Pin=JP1-4
Removed Pin From Net: NetName=RF_MOSI Pin=JP3-2
Removed Pin From Net: NetName=RF_CSN Pin=JP3-3
Removed Pin From Net: NetName=VCC5V Pin=JP3-4
Removed Pin From Net: NetName=GND Pin=JP3-5
Removed Pin From Net: NetName=RF_CE Pin=JP3-6
Removed Pin From Net: NetName=RF_SCK Pin=JP3-7
Removed Pin From Net: NetName=RF_MISO Pin=JP3-8
Removed Pin From Net: NetName=GND Pin=LED5-2
Removed Pin From Net: NetName=VCC5V Pin=U2-2
Removed Pin From Net: NetName=VCC5V Pin=U2-4
Removed Member From Class: ClassName=Power_Supply Member=LED5
Change Component Footprint: Designator=JP1 Old Footprint=JP 1x5 DT New Footprint=JP 2x4 CT
Change Component Footprint: Designator=JP3 Old Footprint=JP 2x4 CT New Footprint=JP 1x5 DT
Change Component Footprint: Designator=C11 Old Footprint=tu 0603 New Footprint=CAP 0603_1608
Change Component Footprint: Designator=C12 Old Footprint=tu 0603 New Footprint=CAP 0603_1608
Change Component Footprint: Designator=C13 Old Footprint=tu 0603 New Footprint=CAP 0603_1608
Change Component Comment : Designator=C13 Old Comment=106 New Comment=4.7 µF
Change Component Comment : Designator=C11 Old Comment=106 New Comment=10 µF
Change Component Comment : Designator=C12 Old Comment=106 New Comment=10 µF
Change Component Comment : Designator=U2 Old Comment=AMS1117 - 5V New Comment=AMS1117 - 3.3V
Change Component Comment : Designator=JP1 Old Comment=JP 1x5 2.54 New Comment=JP 2x4 2.54
Change Component Comment : Designator=JP3 Old Comment=JP 2x4 2.54 New Comment=JP 1x5 2.54
Change component parameters: Designator = "JP1" ("JP1"); Footprint = "JP 1x5 DT"; UniqueID = "\YEMTHGGU" ("\YEMTHGGU")
Change component parameters (AddParameter): Name = "Chung_Loai"; Value = "C?m"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Don_Vi"; Value = "Con"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ghi_Chu"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Kieu_Chan"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ma_Hang"; Value = "MH008647"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ten_Linh_Kien"; Value = "Jump Ðôi Cái 2.54MM 2x20P Th?ng"; VariantName = "[No Variations]"
Change component parameters: Designator = "JP3" ("JP3"); Footprint = "JP 2x4 CT"; UniqueID = "\SOQNHMZM" ("\SOQNHMZM")
Change component parameters (AddParameter): Name = "Chung_Loai"; Value = "C?m"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Don_Vi"; Value = "Con"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ghi_Chu"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Kieu_Chan"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ma_Hang"; Value = "MH000903"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ten_Linh_Kien"; Value = "Jump Ðon Ð?c 2.54MM 1x40P Th?ng 11MM"; VariantName = "[No Variations]"
Change component parameters: Designator = "C11" ("C11"); Footprint = "tu 0603"; UniqueID = "\KHCYTKYT" ("\KHCYTKYT")
Change component parameters (AddParameter): Name = "Applications"; Value = "SMPS Filtering"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Capacitance"; Value = "10 µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink1description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink1url"; Value = "https://ds.yuden.co.jp/TYCOMPAS/ut/detail?pn=TMK107BBJ106MA-T &u=M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink2description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink2url"; Value = "https://www.digikey.com/en/products/detail/taiyo-yuden/TMK107BBJ106MA-T/7403921"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Package"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "lastupdated"; Value = "2/9/2024 8:10:22 PM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "manufacturer"; Value = "Taiyo Yuden"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount, MLCC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 85°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "TMK107BBJ106MA-T"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "partid"; Value = "8967"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "price"; Value = "0.07"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "series"; Value = "M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size / Dimension"; Value = "0.063" L x 0.031" W (1.60mm x 0.80mm)"; VariantName = "[No Variations]"
