Removed Pin From Net: NetName=VCCNRF Pin=C20-2
Removed Pin From Net: NetName=VCCNRF Pin=C21-2
Removed Pin From Net: NetName=+5 Pin=C26-2
Removed Pin From Net: NetName=GND Pin=C34-1
Removed Pin From Net: NetName=GND Pin=D5-2
Removed Pin From Net: NetName=GND Pin=D6-A
Removed Pin From Net: NetName=GND Pin=D7-2
Removed Pin From Net: NetName=+5 Pin=R25-2
Removed Pin From Net: NetName=GND Pin=R27-1
Removed Pin From Net: NetName=GND Pin=U3-1
Removed Pin From Net: NetName=VCCNRF Pin=U3-2
Removed Pin From Net: NetName=+5 Pin=U3-3
Removed Pin From Net: NetName=VCCNRF Pin=U3-4
Removed Pin From Net: NetName=GND Pin=U4-2
Removed Pin From Net: NetName=+5 Pin=U4-5
Removed Member From Class: ClassName=Power_2 Member=C34
Removed Member From Class: ClassName=Power_2 Member=D4
Removed Member From Class: ClassName=Power_2 Member=D5
Removed Member From Class: ClassName=Power_2 Member=D6
Removed Member From Class: ClassName=Power_2 Member=D7
Removed Member From Class: ClassName=Power_2 Member=L2
Removed Member From Class: ClassName=Power_2 Member=R25
Removed Member From Class: ClassName=Power_2 Member=R26
Removed Member From Class: ClassName=Power_2 Member=R27
Removed Member From Class: ClassName=Power_2 Member=U3
Removed Member From Class: ClassName=Power_2 Member=U4
Change Component Footprint: Designator=C15 Old Footprint=CAP 0603_1608 New Footprint=CAP 0805_2012
Change Component Footprint: Designator=C20 Old Footprint=CAP 0603_1608 New Footprint=CAP 0805_2012
Change Component Footprint: Designator=C21 Old Footprint=CAP 0603_1608 New Footprint=CAP 0805_2012
Change Component Footprint: Designator=D6 Old Footprint=DIOM7959X265N New Footprint=SOD-123
Change Component Footprint: Designator=D7 Old Footprint=LED 0402_1005 BLUE New Footprint=SOD-123
Change Component Footprint: Designator=D5 Old Footprint=LED 0402_1005 YELLOW New Footprint=SOD-123
Change Component Footprint: Designator=D4 Old Footprint=SOD323 New Footprint=SOD-123
Change Component Footprint: Designator=R24 Old Footprint=tro smd 0603 New Footprint=RES 0603_1608
Change Component Comment : Designator=R24 Old Comment=1k New Comment=680 Ohms
Change Component Comment : Designator=C20 Old Comment=4.7 µF New Comment=10 µF
Change Component Comment : Designator=C16 Old Comment=10 µF New Comment=0.1µF
Change Component Comment : Designator=R23 Old Comment=31.6 kOhms New Comment=680 Ohms
Change Component Comment : Designator=C22 Old Comment=10000 pF New Comment=0.1µF
Change Component Comment : Designator=C15 Old Comment=10000 pF New Comment=10 µF
Change Component Comment : Designator=D4 Old Comment=BAT165E6327HTSA1 New Comment=1N5819HW-7-F
Change Component Comment : Designator=D7 Old Comment=Blue New Comment=1N5819HW-7-F
Change Component Comment : Designator=D6 Old Comment=SS34 New Comment=1N5819HW-7-F
Change Component Comment : Designator=D5 Old Comment=Yellow New Comment=1N5819HW-7-F
Change component parameters: Designator = "R23" ("R23"); Footprint = "RES 0603_1608"; UniqueID = "\KEBQRQXN" ("\KEBQRQXN")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RT_1-to-0.01_RoHS_L_11.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://digikey.com/product-detail/en/yageo/RT0603CRD07680RL/YAG4792CT-ND/6616948"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Composition"; Value = "Thin Film"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Package"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height - Seated (Max)"; Value = "0.022" (0.55mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LastUpdated"; Value = "2/9/2024 8:42:46 PM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 155°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RT0603CRD07680RL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartId"; Value = "17637"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power (Watts)"; Value = "0.1W, 1/10W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "0.07"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance"; Value = "680 Ohms"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "RT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size / Dimension"; Value = "0.063" L x 0.031" W (1.60mm x 0.80mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Device Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "YAG4792CT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "±25ppm/°C"; VariantName = "[No Variations]"
