Change Component Footprint: Designator=D13 Old Footprint=LED 0402_1005 BLUE New Footprint=LED 0603_1608 BLUE
Change Component Footprint: Designator=D12 Old Footprint=LED 0402_1005 GREEN New Footprint=LED 0603_1608 GREEN
Change Component Footprint: Designator=D10 Old Footprint=LED 0402_1005 RED New Footprint=LED 0603_1608 RED
Change Component Footprint: Designator=D11 Old Footprint=LED 0402_1005 YELLOW New Footprint=LED 0603_1608 YELLOW
Change component parameters: Designator = "D11" ("D11"); Footprint = "LED 0402_1005 YELLOW"; UniqueID = "\YCAQZIDO" ("\YCAQZIDO")
Change component parameters (AddParameter): Name = "Color"; Value = "Yellow"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://rohmfs.rohm.com/en/products/databook/datasheet/opto/led/chip_mono/sml-d15-e.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.digikey.com/en/products/detail/rohm-semiconductor/SML-D15YWT86/5822344"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Configuration"; Value = "Standard"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Test"; Value = "20mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Package"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height (Max)"; Value = "0.65mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LastUpdated"; Value = "6/3/2024 8:01:10 PM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lens Color"; Value = "White"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lens Size"; Value = "1.20mm x 0.80mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lens Style"; Value = "Rectangle with Flat Top"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lens Transparency"; Value = "Diffused"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Rohm Semiconductor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Millicandela Rating"; Value = "224mcd"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
